日付,注文ID,商品名,カテゴリ,数量,単価,担当者,顧客名,地域
2026-03-02,SO-0001,トナーカートリッジ,消耗品,2,12800,伊藤,有限会社ガンマ企画,大阪
2026-03-03,SO-0002,クリアファイル 100枚,文具,5,1500,伊藤,エータ設計事務所,東京
2026-03-03,SO-0003,ウェットティッシュ 業務用,消耗品,3,1280,伊藤,デルタ工業株式会社,大阪
2026-03-03,SO-0004,ウェットティッシュ 業務用,消耗品,6,1280,高橋,エータ設計事務所,東京
2026-03-04,SO-0005,ボールペン 黒 10本入,文具,4,880,伊藤,シータ薬局,福岡
2026-03-04,SO-0006,オフィスチェア,什器,2,24800,伊藤,イプシロン株式会社,名古屋
2026-03-05,SO-0007,LED デスクライト,什器,2,4500,佐藤,合同会社ベータ,東京
2026-03-09,SO-0008,ウェットティッシュ 業務用,消耗品,6,1280,鈴木,有限会社ガンマ企画,大阪
2026-03-09,SO-0009,ラベルシール 30面,文具,7,980,鈴木,ゼータ物産,福岡
2026-03-09,SO-0010,ラベルシール 30面,文具,2,980,鈴木,エータ設計事務所,東京
2026-03-09,SO-0011,コピー用紙 A4 5000枚,文具,7,3980,鈴木,有限会社ガンマ企画,大阪
2026-03-11,SO-0012,ボールペン 黒 10本入,文具,2,880,田中,イプシロン株式会社,名古屋
2026-03-12,SO-0013,ラベルシール 30面,文具,5,980,佐藤,エータ設計事務所,東京
2026-03-12,SO-0014,LED デスクライト,什器,1,4500,田中,ゼータ物産,福岡
2026-03-12,SO-0015,トナーカートリッジ,消耗品,2,12800,佐藤,デルタ工業株式会社,大阪
2026-03-12,SO-0016,ウェットティッシュ 業務用,消耗品,4,1280,佐藤,株式会社アルファ商事,東京
2026-03-12,SO-0017,ウェットティッシュ 業務用,消耗品,2,1280,伊藤,デルタ工業株式会社,大阪
2026-03-13,SO-0018,ラベルシール 30面,文具,3,980,高橋,イプシロン株式会社,名古屋
2026-03-16,SO-0019,ボールペン 黒 10本入,文具,7,880,田中,シータ薬局,福岡
2026-03-16,SO-0020,コピー用紙 A4 5000枚,文具,4,3980,佐藤,エータ設計事務所,東京
2026-03-16,SO-0021,ウェットティッシュ 業務用,消耗品,4,1280,田中,シータ薬局,福岡
2026-03-16,SO-0022,モニターアーム,什器,3,8900,佐藤,イプシロン株式会社,名古屋
2026-03-17,SO-0023,ボールペン 黒 10本入,文具,1,880,伊藤,デルタ工業株式会社,大阪
2026-03-17,SO-0024,ボールペン 黒 10本入,文具,1,880,鈴木,有限会社ガンマ企画,大阪
2026-03-17,SO-0025,コピー用紙 A4 5000枚,文具,4,3980,鈴木,株式会社アルファ商事,東京
2026-03-17,SO-0026,ボールペン 黒 10本入,文具,11,880,伊藤,ゼータ物産,福岡
2026-03-19,SO-0027,コピー用紙 A4 5000枚,文具,9,3980,高橋,シータ薬局,福岡
2026-03-23,SO-0028,コピー用紙 A4 5000枚,文具,8,3980,佐藤,株式会社アルファ商事,東京
2026-03-24,SO-0029,コピー用紙 A4 5000枚,文具,3,3980,鈴木,ゼータ物産,福岡
2026-03-24,SO-0030,ウェットティッシュ 業務用,消耗品,10,1280,高橋,シータ薬局,福岡
2026-03-25,SO-0031,ラベルシール 30面,文具,3,980,鈴木,デルタ工業株式会社,大阪
2026-03-25,SO-0032,クリアファイル 100枚,文具,6,1500,伊藤,株式会社アルファ商事,東京
2026-03-25,SO-0033,クリアファイル 100枚,文具,6,1500,高橋,シータ薬局,福岡
2026-03-26,SO-0034,コピー用紙 A4 5000枚,文具,9,3980,高橋,エータ設計事務所,東京
2026-03-26,SO-0035,ラベルシール 30面,文具,8,980,田中,エータ設計事務所,東京
2026-03-27,SO-0036,トナーカートリッジ,消耗品,1,12800,田中,エータ設計事務所,東京
2026-03-30,SO-0037,ボールペン 黒 10本入,文具,10,880,伊藤,ゼータ物産,福岡
2026-03-30,SO-0038,コピー用紙 A4 5000枚,文具,7,3980,田中,有限会社ガンマ企画,大阪
2026-04-01,SO-0039,コピー用紙 A4 5000枚,文具,4,3980,鈴木,シータ薬局,福岡
2026-04-01,SO-0040,付箋 5色セット,文具,6,620,佐藤,合同会社ベータ,東京
2026-04-02,SO-0041,付箋 5色セット,文具,13,620,佐藤,合同会社ベータ,東京
2026-04-02,SO-0042,コピー用紙 A4 5000枚,文具,2,3980,佐藤,有限会社ガンマ企画,大阪
2026-04-03,SO-0043,付箋 5色セット,文具,8,620,鈴木,ゼータ物産,福岡
2026-04-06,SO-0044,コピー用紙 A4 5000枚,文具,10,3980,高橋,デルタ工業株式会社,大阪
2026-04-06,SO-0045,トナーカートリッジ,消耗品,3,12800,鈴木,有限会社ガンマ企画,大阪
2026-04-07,SO-0046,トナーカートリッジ,消耗品,3,12800,伊藤,デルタ工業株式会社,大阪
2026-04-08,SO-0047,ボールペン 黒 10本入,文具,8,880,伊藤,シータ薬局,福岡
2026-04-08,SO-0048,コピー用紙 A4 5000枚,文具,10,3980,伊藤,合同会社ベータ,東京
2026-04-08,SO-0049,モニターアーム,什器,1,8900,佐藤,ゼータ物産,福岡
2026-04-09,SO-0050,コピー用紙 A4 5000枚,文具,5,3980,伊藤,エータ設計事務所,東京
2026-04-09,SO-0051,LED デスクライト,什器,3,4500,高橋,有限会社ガンマ企画,大阪
